location,date,total_cases,new_cases,total_deaths,people_vaccinated,population
Argentina,2021-03-18,2276955.0,0.0,59088.0,2535158.0,45510324
Argentina,2021-03-19,2276955.0,0.0,59088.0,2625290.0,45510324
Argentina,2021-03-20,2276955.0,0.0,59088.0,2663392.0,45510324
Argentina,2021-03-21,2328586.0,51631.0,60082.0,2681706.0,45510324
Argentina,2021-03-22,2328586.0,0.0,60082.0,2752001.0,45510324
Argentina,2021-03-23,2328586.0,0.0,60082.0,2845982.0,45510324
Argentina,2021-03-24,2328586.0,0.0,60082.0,2882209.0,45510324
Argentina,2021-03-25,2328586.0,0.0,60082.0,2970010.0,45510324
Argentina,2021-03-26,2328586.0,0.0,60082.0,3053211.0,45510324
Argentina,2021-03-27,2328586.0,0.0,60082.0,3105170.0,45510324
Argentina,2021-03-28,2400067.0,71481.0,61341.0,3125945.0,45510324
Argentina,2021-03-29,2400067.0,0.0,61341.0,3241384.0,45510324
Argentina,2021-03-30,2400067.0,0.0,61341.0,3399141.0,45510324
Argentina,2021-03-31,2400067.0,0.0,61341.0,3569267.0,45510324
Argentina,2021-04-01,2400067.0,0.0,61341.0,3684323.0,45510324
Argentina,2021-04-02,2400067.0,0.0,61341.0,3751476.0,45510324
Argentina,2021-04-03,2400067.0,0.0,61341.0,3825422.0,45510324
Argentina,2021-04-04,2494044.0,93977.0,62995.0,3873819.0,45510324
Argentina,2021-04-05,2494044.0,0.0,62995.0,4030236.0,45510324
Argentina,2021-04-06,2494044.0,0.0,62995.0,4216172.0,45510324
Argentina,2021-04-07,2494044.0,0.0,62995.0,4448091.0,45510324
Argentina,2021-04-08,2494044.0,0.0,62995.0,4679183.0,45510324
Argentina,2021-04-09,2494044.0,0.0,62995.0,4907451.0,45510324
Argentina,2021-04-10,2494044.0,0.0,62995.0,4995058.0,45510324
Argentina,2021-04-11,2647413.0,153369.0,65614.0,5041855.0,45510324
Argentina,2021-04-12,2647413.0,0.0,65614.0,5215073.0,45510324
Argentina,2021-04-13,2647413.0,0.0,65614.0,5376574.0,45510324
Argentina,2021-04-14,2647413.0,0.0,65614.0,5533390.0,45510324
Argentina,2021-04-15,2647413.0,0.0,65614.0,5663392.0,45510324
Argentina,2021-04-16,2647413.0,0.0,65614.0,5778954.0,45510324
Argentina,2021-04-17,2647413.0,0.0,65614.0,5819269.0,45510324
Argentina,2021-04-18,2811936.0,164523.0,68907.0,5839042.0,45510324
Argentina,2021-04-19,2811936.0,0.0,68907.0,5915158.0,45510324
Argentina,2021-04-20,2811936.0,0.0,68907.0,6022190.0,45510324
Argentina,2021-04-21,2811936.0,0.0,68907.0,6181435.0,45510324
Argentina,2021-04-22,2811936.0,0.0,68907.0,6345911.0,45510324
Argentina,2021-04-23,2811936.0,0.0,68907.0,6528067.0,45510324
Argentina,2021-04-24,2811936.0,0.0,68907.0,6618891.0,45510324
Argentina,2021-04-25,2977690.0,165754.0,72377.0,6668023.0,45510324
Argentina,2021-04-26,2977690.0,0.0,72377.0,6834167.0,45510324
Argentina,2021-04-27,2977690.0,0.0,72377.0,6982772.0,45510324
Argentina,2021-04-28,2977690.0,0.0,72377.0,7118444.0,45510324
Argentina,2021-04-29,2977690.0,0.0,72377.0,7241056.0,45510324
Argentina,2021-04-30,2977690.0,0.0,72377.0,7323138.0,45510324
Argentina,2021-05-01,2977690.0,0.0,72377.0,7339949.0,45510324
Argentina,2021-05-02,3119183.0,141493.0,75492.0,7366074.0,45510324
Argentina,2021-05-03,3119183.0,0.0,75492.0,7463767.0,45510324
Argentina,2021-05-04,3119183.0,0.0,75492.0,7600632.0,45510324
Argentina,2021-05-05,3119183.0,0.0,75492.0,7765564.0,45510324
Argentina,2021-05-06,3119183.0,0.0,75492.0,7903846.0,45510324
Argentina,2021-05-07,3119183.0,0.0,75492.0,8013179.0,45510324
Argentina,2021-05-08,3119183.0,0.0,75492.0,8045627.0,45510324
Argentina,2021-05-09,3263891.0,144708.0,78681.0,8061224.0,45510324
Argentina,2021-05-10,3263891.0,0.0,78681.0,8138661.0,45510324
Argentina,2021-05-11,3263891.0,0.0,78681.0,8214679.0,45510324
Argentina,2021-05-12,3263891.0,0.0,78681.0,8267133.0,45510324
Argentina,2021-05-13,3263891.0,0.0,78681.0,8304816.0,45510324
Argentina,2021-05-14,3263891.0,0.0,78681.0,8345262.0,45510324
Argentina,2021-05-15,3263891.0,0.0,78681.0,8389917.0,45510324
Argentina,2021-05-16,3429880.0,165989.0,82322.0,8414241.0,45510324
Argentina,2021-05-17,3429880.0,0.0,82322.0,8504352.0,45510324
Argentina,2021-05-18,3429880.0,0.0,82322.0,8658618.0,45510324
Argentina,2021-05-19,3429880.0,0.0,82322.0,8789963.0,45510324
Argentina,2021-05-20,3429880.0,0.0,82322.0,8930459.0,45510324
Argentina,2021-05-21,3429880.0,0.0,82322.0,9022031.0,45510324
Argentina,2021-05-22,3429880.0,0.0,82322.0,9078949.0,45510324
Argentina,2021-05-23,3664540.0,234660.0,86838.0,9101327.0,45510324
Argentina,2021-05-24,3664540.0,0.0,86838.0,9169762.0,45510324
Argentina,2021-05-25,3664540.0,0.0,86838.0,9206692.0,45510324
Argentina,2021-05-26,3664540.0,0.0,86838.0,9295585.0,45510324
Argentina,2021-05-27,3664540.0,0.0,86838.0,9383485.0,45510324
Argentina,2021-05-28,3664540.0,0.0,86838.0,9508148.0,45510324
Argentina,2021-05-29,3664540.0,0.0,86838.0,9674364.0,45510324
Argentina,2021-05-30,3872872.0,208332.0,91177.0,9786652.0,45510324
Argentina,2021-05-31,3872872.0,0.0,91177.0,10023476.0,45510324
Argentina,2021-06-01,3872872.0,0.0,91177.0,10286532.0,45510324
Argentina,2021-06-02,3872872.0,0.0,91177.0,10544669.0,45510324
Argentina,2021-06-03,3872872.0,0.0,91177.0,10858975.0,45510324
Argentina,2021-06-04,3872872.0,0.0,91177.0,11222630.0,45510324
Argentina,2021-06-05,3872872.0,0.0,91177.0,11529383.0,45510324
Argentina,2021-06-06,4068077.0,195205.0,95155.0,11734059.0,45510324
Argentina,2021-06-07,4068077.0,0.0,95155.0,12039618.0,45510324
Argentina,2021-06-08,4068077.0,0.0,95155.0,12374466.0,45510324
Argentina,2021-06-09,4068077.0,0.0,95155.0,12723984.0,45510324
Argentina,2021-06-10,4068077.0,0.0,95155.0,13040703.0,45510324
Argentina,2021-06-11,4068077.0,0.0,95155.0,13361285.0,45510324
Argentina,2021-06-12,4068077.0,0.0,95155.0,13466385.0,45510324
Argentina,2021-06-13,4230846.0,162769.0,98472.0,13505382.0,45510324
Argentina,2021-06-14,4230846.0,0.0,98472.0,13659663.0,45510324
Argentina,2021-06-15,4230846.0,0.0,98472.0,13833234.0,45510324
Argentina,2021-06-16,4230846.0,0.0,98472.0,14046858.0,45510324
Argentina,2021-06-17,4230846.0,0.0,98472.0,14296138.0,45510324
Argentina,2021-06-18,4230846.0,0.0,98472.0,14650228.0,45510324
Argentina,2021-06-19,4230846.0,0.0,98472.0,14862188.0,45510324
Argentina,2021-06-20,4368482.0,137636.0,101166.0,14957228.0,45510324
Argentina,2021-06-21,4368482.0,0.0,101166.0,15103167.0,45510324
Argentina,2021-06-22,4368482.0,0.0,101166.0,15352933.0,45510324
Argentina,2021-06-23,4368482.0,0.0,101166.0,15586965.0,45510324
Argentina,2021-06-24,4368482.0,0.0,101166.0,15857516.0,45510324
Argentina,2021-06-25,4368482.0,0.0,101166.0,16163853.0,45510324
